address,amount
0x056b1485DB3A6a6A1e4C64E58f1f6Db9c65A6Cba,47000000000000000000
0x056b1485DB3A6a6A1e4C64E58f1f6Db9c65A6Cba,47000000000000000000
0x05720f25B5C2b09EFEE262dEb2f1aEA4F18F330b,42000000000000000000
0x05729E7AA99db785A2D98A75e8BbBfE83F5cc3E6,25000000000000000000
0x0583fAa4C306cb98c634cfb3183dA25A1F5dDcBC,47000000000000000000
0x059F256B7F98b4E4A76E5179fC7332D9b04c7A8D,30000000000000000000
0x05a792E2Ed6F25EeF46916697cA1d6e6312d31A,48000000000000000000
0x05AA871915Bd4e4A76E5179fC7332D9b04c7A8D5,30000000000000000000
0x05Ad11Ee6Eb3DaC3d9f915041d21c24C804f22F,33000000000000000000
0x05Ae8bC5931A172F1692E88b48B09c71044dF15,28000000000000000000
0x05Ae8bC5931A172F1692E88b48B09c71044dF15,28000000000000000000
0x05AFB7FE6a3eEe168b65d4CDDbc7B3Ff9e9De3d,15000000000000000000
0x05B5B4a80bD94bE7D1041ED17F8B9Df0e4589Df,46000000000000000000
0x05B6bDeF1809447F01529330e0f8e2F83B45Aa6c,32000000000000000000
0x05B9C9cA9e8B9d6015B8C1fFfE62Ce81D7eEb4e5,39000000000000000000
0x05BaAB477F1973a8Cf3AaA1ED5fE80168b65d4C,35000000000000000000
0x05BE352d7472dA7d38F4FeFfB180EeAb44ABe02,45000000000000000000
0x05C2A4C15A28dBA1ecD04a22Fd4eAd11Ee6Eb3D,35000000000000000000
0x05C31A9b8cA4d82E04C2cE9962Ed6F25EeF4691,47000000000000000000
0x05C7Cb35B7e4c2cFf3812501E2C2DbB40F154E0,45000000000000000000
0x05C7Cb35B7e4c2cFf3812501E2C2DbB40F154E0,45000000000000000000
0x05CA3D88aE3c547D0C02B81cB0469AC60E95d9b,400000000000000
0x05CA3D88aE3c547D0C02B81cB0469AC60E95d9b,40000000000000000000
0x05cdC1a2E3d6b3eA0Bb3737CaF5b9a9cD5B5516C,25000000000000000000
0x05D1E47f7F8Eae1df08c860ed74D8758E25Be9d0,24000000000000000000
0x05d2F18f6E06787Bc090277dFc70e5f829f3c2F,46000000000000000000
0x05D45415ed88236f3848F56CAAC11Cd5E7dF20BE,26000000000000000000
0x05Dd0F01a46a3990497876a6A1e4C64E58f1f6D,46000000000000000000
0x05Dd0F01a46a3990497876a6A1e4C64E58f1f6D,46000000000000000000
0x05e07B341EfF5645055B2774C65a90EB517ea2b,34000000000000000000
0x05E232dCBe6E35e0a021fDb9E68Fc5267807874,32000000000000000000
0x05E3E400947f53E78f4FeFfB180EeAb44ABe02d,45000000000000000000
0x05E5BDF636B9eAbD1F364d91fF99bE701324509,42000000000000000000
0x05E7f6D8b73eE3E2D06d11b5c1e7DdEDaA2f3DfB,49000000000000000000
0x05f145b517Fa37c32bD8a05Ad11Ee6Eb3DaC3d9,25000000000000000000
0x05F186A9b8cA4d82E04C2cE9962Ed6F25EeF469,47000000000000000000
0x05f3AaA1ED5fE80168b65d4CDDbc7B3Ff9e9De3,15000000000000000000
0x05f48f0d61780BbC4B70B32f009234C835E0d60,15000000000000000000
0x05F52C2D3DC5Bc5022E2079F77ff10615663C2E,22000000000000000000
0x05F6D9b8cA4d82E04C2cE9962Ed6F25EeF4691,47000000000000000000
0x05f70E79A71dEF25EeF46916697cA1d6e6312d3,48000000000000000000
0x05F839BB5e2bF28217a6eC61f790234C835E0d6,39000000000000000000
0x05f9a3e9c4Be356B7F98b4E4A76E5179fC7332D,46000000000000000000
0x05Ff12C8b3f38747516c56Cd38dfb478686F87E,46000000000000000000
0x05Ff12C8b3f38747516c56Cd38dfb478686F87E,46000000000000000000
0x05ff2b020Da5eAe674b0515d08Fc21b0E79C11,34000000000000000000
0x05ff8fF330bd0F01a46a3990497876a6A1e4C64,470000000000000
0x05ff8fF330bd0F01a46a3990497876a6A1e4C64,470000000000000
0x0600C65A6Cba0d7c7A4D82E04C2cE9962Ed6F25E,470000000000000
0x0604a1A0f11E9eD9bB791aeDc539a54D28f8A2C,330000000000000
0x0606BbBfE83F5cc3E6901716A9b8cA4d82E04C2,470000000000000
0x0607189F45B5B4a80bD94bE7D1041ED17F8B9Df,460000000000000
0x060a2F3DfB24ef420Be64A9c8D0eFc97C482472,320000000000000
0x0611C57F0DC9367E6cD6B09B3660A32E04d7a7d,450000000000000
0x0613dc8F0F7B5003582a9872CA91FfB9e14dDD0,270000000000000
0x061C5C661217661c5F3055B5B2774C65a90EB517,430000000000000
0x061CD967c6EF77e5B22E2D06d11b5c1e7DdEDaA,490000000000000
0x061e9c4Be35624881a765589Db929F365F24054,390000000000000
0x0622FCe4a5e4Fcac8C0150364a9c8D0eFc97C482,320000000000000
0x0626eA9B791aeDc539a54D28f8A2C7A4D82E04C,460000000000000
0x062C61a73CeBDe1E37e628B030b7F47B17B262D,380000000000000
0x062eA0aAB477F1973a8Cf3AaA1ED5fE80168b65,450000000000000
0x06311d97B672f0BCb4a3e3b9d94dD6F1992BcEc,390000000000000
0x06317d8758E25Be9d0A1B05f8F29Caa91Df08c86,240000000000000
0x0635d8a9c97d96336673D80b3bB344df4130001,430000000000000
0x063bEBec9ecFD83227b1e57c6bfe94d94d939062,430000000000000
0x063C2d5e9A1b68b7BcfE3e08F4E6F8C92eaa1d07,390000000000000
0x0641127fF6dD8b3e400Edc4b8eB46c2b5042b12,450000000000000
0x0644b399ea14eA42bc0301e00C9b3bC43D9Cd004,300000000000000
0x064B5B4a80bD94bE7D1041ED17F8B9Df0e4589Df,460000000000000
0x064ECD967c6EF77e5B22E2D06d11b5c1e7DdEDaA,490000000000000
0x0651e69333F915f1800000000000000000000000,180000000000000
0x0655A5D0c7D417050f56e4FDfaB7E6D5a06aA00f,250000000000000
0x065B617fF0DC9367E6cD6B09B3660A32E04d7a7d,450000000000000
0x066289A0A647C356f6A189d7E9A2497C9B6f70Bc,480000000000000
0x06628F44d786F854d4e29F20bB4e4A3C2BB2DE67,430000000000000
0x0663AaA1ED5fE80168b65d4CDDbc7B3Ff9e9De3d,150000000000000
0x06680BbC4B70B32f009234C835E0d6015B8C1fF,150000000000000
